Programmatic Name,Velocity Register
val_mms_dcb_ep_dcbus,4863
val_mms_dcb_ec_dcbus,4864
val_mms_bat_tm_remaining,4865
str_mms_monitoringAccessURL,4866
val_sys_tmp_dewPnt,4867
val_sys_tm_nextMaintMonth,4868
val_sys_tm_nextMaintYear,4869
val_sys_pct_maintenanceRamp,4870
st_bat_upsBattStatus,4871
st_sys_upsOutputSource,4872
st_mms_upsBattStatus,4873
st_mms_upsOutputSource,4874
str_sys_cstName,4875
str_sys_cstStreetAddress,4876
str_sys_cstCity,4877
str_sys_cstState,4878
str_sys_cstZipCode,4879
str_sys_cstContactPerson,4880
str_sys_cstPhoneNumber,4881
str_sys_cstPhoneExtension,4882
str_sys_cstCellPhoneNumber,4883
str_sys_cstFaxNumber,4884
str_sys_cstEMailAddress,4885
str_sys_locName,4886
str_sys_locStreetAddress,4887
